,Transaction date,Transaction type,Num,Customer full name,Vendor,Memo/Description,Cleared,Amount
2256,,,,,,,,
,10/29/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:YEK0L8G7N2S7AGS           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,47.92
,10/29/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:YEK0L8G7N2S7AGS           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,47.92
2257,,,,,,,,
,10/29/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:XG7R2YBXHYS9J48           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,378.47
,10/29/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:XG7R2YBXHYS9J48           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,378.47
2260,,,,,,,,
,10/29/2024,Deposit,,,,SHOPPAYINST AFRM DES:AutoPay    ID:MGXD1TODLFRTDA0           INDN:MONSTERBASS             CO ID:394440     CCD,Reconciled,144.8
,10/29/2024,Deposit,,,,SHOPPAYINST AFRM DES:AutoPay    ID:MGXD1TODLFRTDA0           INDN:MONSTERBASS             CO ID:394440     CCD,,144.8
2261,,,,,,,,
,10/29/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Y3G5Q3G4V9J1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,7428.64
,10/29/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Y3G5Q3G4V9J1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,7428.64
2262,,,,,,,,
,10/29/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-H3O9Q7Y1Q0X8           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,115.44
,10/29/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-H3O9Q7Y1Q0X8           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,115.44
2264,,,,,,,,
,10/29/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX55959930             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,Reconciled,3895.16
,10/29/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX55959930             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,,3895.16
2265,,,,,,,,
,10/29/2024,Deposit,,,,ANE WHOLESALE LL DES:ACH Pmt    ID:XXXXX663348               INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX02235 CCD,Reconciled,10719.52
,10/29/2024,Deposit,,,,ANE WHOLESALE LL DES:ACH Pmt    ID:XXXXX663348               INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX02235 CCD,,-10719.52
2270,,,,,,,,
,10/30/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-R2O7Q9R0X5A8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,729.83
,10/30/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-R2O7Q9R0X5A8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,729.83
2271,,,,,,,,
,10/30/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-S9W2Z2D8I1Z7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,1450.68
,10/30/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-S9W2Z2D8I1Z7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,1450.68
2295,,,,,,,,
,10/31/2024,Deposit,,,,AMAZONCOMCA INC  DES:PAYMENT    ID:KO9TUSCM2ZVP              INDN:Outdoor Playground Inc  CO ID:XXXXX70001 IAT           PMT INFO: BUS XXXXXXXXXX00005042                            FOR MORE INFORMATION CONTACT CUSTOMER SERVICE,Reconciled,50.42
,10/31/2024,Deposit,,,,AMAZONCOMCA INC  DES:PAYMENT    ID:KO9TUSCM2ZVP              INDN:Outdoor Playground Inc  CO ID:XXXXX70001 IAT           PMT INFO: BUS XXXXXXXXXX00005042                            FOR MORE INFORMATION CONTACT CUSTOMER SERVICE,,50.42
2296,,,,,,,,
,10/31/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-K8Z2A8W7A6K8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2045.08
,10/31/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-K8Z2A8W7A6K8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2045.08
2297,,,,,,,,
,10/31/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-E1C9P6D4Y4I3           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,165.53
,10/31/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-E1C9P6D4Y4I3           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,165.53
2298,,,,,,,,
,10/31/2024,Deposit,,,,AMAZON.CHKHQ5QHK DES:PAYMENTS   ID:5QAZC53YY22RSIM           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,Reconciled,447.09
,10/31/2024,Deposit,,,,AMAZON.CHKHQ5QHK DES:PAYMENTS   ID:5QAZC53YY22RSIM           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,,447.09
2288,,,,,,,,
,11/01/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-P4O6R5X0K8B9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,945.45
,11/01/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-P4O6R5X0K8B9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,945.45
2289,,,,,,,,
,11/01/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Q4R3J9Q0Q7O5           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2429.46
,11/01/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Q4R3J9Q0Q7O5           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2429.46
2315,,,,,,,,
,11/04/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-L2L1K1V7T0T6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,238.51
,11/04/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-L2L1K1V7T0T6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,238.51
2316,,,,,,,,
,11/04/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:ILOV6TAYBII34RP           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,172.81
,11/04/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:ILOV6TAYBII34RP           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,172.81
2317,,,,,,,,
,11/04/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-M2X1B5P3V2M2           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,1948.79
,11/04/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-M2X1B5P3V2M2           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,1948.79
2319,,,,,,,,
,11/04/2024,Deposit,,,,BKOFAMERICA MOBILE 11/04 XXXXX69581 DEPOSIT                                    *MOBILE       CA,Reconciled,96.02
,11/04/2024,Deposit,,,,BKOFAMERICA MOBILE 11/04 XXXXX69581 DEPOSIT                                    *MOBILE       CA,,-96.02
2321,,,,,,,,
,11/05/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-P4A8G9P3S1H3           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,18745.39
,11/05/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-P4A8G9P3S1H3           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,18745.39
2324,,,,,,,,
,11/05/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-M2O3Q6L0L4F1           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,4368.53
,11/05/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-M2O3Q6L0L4F1           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,4368.53
2325,,,,,,,,
,11/05/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX13803234             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,Reconciled,5537.06
,11/05/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX13803234             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,,5537.06
2332,,,,,,,,
,11/06/2024,Deposit,,,,CHASE CREDIT CRD DES:RWRD RDM   ID:2aeXXXXX5699209           INDN:PATRI RICHARD           CO ID:XXXXX40001 PPD,Reconciled,507.87
,11/06/2024,Deposit,,,,CHASE CREDIT CRD DES:RWRD RDM   ID:2aeXXXXX5699209           INDN:PATRI RICHARD           CO ID:XXXXX40001 PPD,,507.87
2333,,,,,,,,
,11/06/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-P2J3C3L1Z2C8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,1865.35
,11/06/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-P2J3C3L1Z2C8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,1865.35
2334,,,,,,,,
,11/06/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-M0A8E0K8D9C4           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,72.54
,11/06/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-M0A8E0K8D9C4           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,72.54
2335,,,,,,,,
,11/06/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-C2F2N7X9Y6V5           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,1843.89
,11/06/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-C2F2N7X9Y6V5           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,1843.89
2340,,,,,,,,
,11/07/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-V5X0J8M0F0L8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,372.88
,11/07/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-V5X0J8M0F0L8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,372.88
2341,,,,,,,,
,11/07/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-L0V1M5C6E5I4           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2642.92
,11/07/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-L0V1M5C6E5I4           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2642.92
2347,,,,,,,,
,11/08/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Y6P0K4C8B8X2           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,3137.97
,11/08/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Y6P0K4C8B8X2           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,3137.97
2348,,,,,,,,
,11/08/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-F3H8U9W9V4W8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,4275.67
,11/08/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-F3H8U9W9V4W8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,4275.67
2349,,,,,,,,
,11/08/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-P9I0Q4R7A4P6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,9.02
,11/08/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-P9I0Q4R7A4P6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,9.02
2352,,,,,,,,
,11/08/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:HUS0LCFDFXCKZ9E           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,92.04
,11/08/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:HUS0LCFDFXCKZ9E           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,92.04
2364,,,,,,,,
,11/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-B5H2K7W3Q3N3           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,30.59
,11/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-B5H2K7W3Q3N3           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,30.59
2365,,,,,,,,
,11/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Q0C6Q4Q5K9M9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,1823.94
,11/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Q0C6Q4Q5K9M9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,1823.94
2366,,,,,,,,
,11/12/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-Y8V5K1K3C5N7           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,614.36
,11/12/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-Y8V5K1K3C5N7           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,614.36
2368,,,,,,,,
,11/12/2024,Deposit,,,,"TikTok Inc       DES:PAYMENT    ID:XXXXXXXXXX29027           INDN:Outdoor Playground Inc  CO ID:XXXXX67522 CCD           PMT INFO:TikTok Shop-USLC7NEW6U, payout ID 345958           XXXXX16089850",Reconciled,69.42
,11/12/2024,Deposit,,,,"TikTok Inc       DES:PAYMENT    ID:XXXXXXXXXX29027           INDN:Outdoor Playground Inc  CO ID:XXXXX67522 CCD           PMT INFO:TikTok Shop-USLC7NEW6U, payout ID 345958           XXXXX16089850",,69.42
2379,,,,,,,,
,11/12/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX67483791             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,Reconciled,3686.8
,11/12/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX67483791             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,,3686.8
2369,,,,,,,,
,11/13/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-M6Y2C2M6B3H2           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,376.22
,11/13/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-M6Y2C2M6B3H2           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,376.22
2375,,,,,,,,
,11/13/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:JGHUF24A4EGTW4W           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,59.02
,11/13/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:JGHUF24A4EGTW4W           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,59.02
2376,,,,,,,,
,11/13/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:CUZB2YTXAS92L59           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,104.16
,11/13/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:CUZB2YTXAS92L59           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,104.16
2377,,,,,,,,
,11/13/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Y8W1C2T1E2I8           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,7.21
,11/13/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Y8W1C2T1E2I8           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,7.21
2378,,,,,,,,
,11/13/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G3T5P2X7D2X7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,9702.27
,11/13/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G3T5P2X7D2X7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,9702.27
2381,,,,,,,,
,11/14/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-F0G7J0S1V6W5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX65600 CCD,Reconciled,9.16
,11/14/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-F0G7J0S1V6W5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX65600 CCD,,9.16
2382,,,,,,,,
,11/14/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-N1D3I2I2P9L7           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,2534.03
,11/14/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-N1D3I2I2P9L7           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,2534.03
2383,,,,,,,,
,11/14/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Y2W7I3L3D9T1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX65600 CCD,Reconciled,1383.45
,11/14/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Y2W7I3L3D9T1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX65600 CCD,,1383.45
2394,,,,,,,,
,11/14/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:5356Z1QNTDS4WN5           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,64.37
,11/14/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:5356Z1QNTDS4WN5           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,64.37
2395,,,,,,,,
,11/14/2024,Deposit,,,,AMAZONCOMCA INC  DES:PAYMENT    ID:KOACUSCNPVWX              INDN:Outdoor Playground Inc  CO ID:XXXXX70001 IAT           PMT INFO: BUS XXXXXXXXXX00002268                            FOR MORE INFORMATION CONTACT CUSTOMER SERVICE,Reconciled,22.68
,11/14/2024,Deposit,,,,AMAZONCOMCA INC  DES:PAYMENT    ID:KOACUSCNPVWX              INDN:Outdoor Playground Inc  CO ID:XXXXX70001 IAT           PMT INFO: BUS XXXXXXXXXX00002268                            FOR MORE INFORMATION CONTACT CUSTOMER SERVICE,,22.68
2396,,,,,,,,
,11/14/2024,Deposit,,,,AMAZON.C2TR4TUJR DES:PAYMENTS   ID:380ZIQN1JT8MYSZ           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,Reconciled,454.44
,11/14/2024,Deposit,,,,AMAZON.C2TR4TUJR DES:PAYMENTS   ID:380ZIQN1JT8MYSZ           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,,454.44
2390,,,,,,,,
,11/15/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-E5O0P7G5F4N2           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,668.34
,11/15/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-E5O0P7G5F4N2           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,668.34
2391,,,,,,,,
,11/15/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-I1U7O0B7O2M6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,0.82
,11/15/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-I1U7O0B7O2M6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,0.82
2392,,,,,,,,
,11/15/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-N5N9S8I6H5Y9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2298.52
,11/15/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-N5N9S8I6H5Y9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2298.52
2402,,,,,,,,
,11/18/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-M2K3P2O4M4C8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,23.88
,11/18/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-M2K3P2O4M4C8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,23.88
2404,,,,,,,,
,11/18/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-M9J0B6C6Q5B8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,549.53
,11/18/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-M9J0B6C6Q5B8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,549.53
2417,,,,,,,,
,11/18/2024,Deposit,,,,"TikTok Shop      DES:XXXXX75001 ID:USLC7NEW6U,               INDN:Outdoor Playground Inc  CO ID:XXXXX92853 CCD           PMT INFO:USLC7NEW6U,",Reconciled,7
,11/18/2024,Deposit,,,,"TikTok Shop      DES:XXXXX75001 ID:USLC7NEW6U,               INDN:Outdoor Playground Inc  CO ID:XXXXX92853 CCD           PMT INFO:USLC7NEW6U,",,7
2418,,,,,,,,
,11/18/2024,Deposit,,,,"TikTok Shop      DES:XXXXX55003 ID:USLC7NEW6U,               INDN:Outdoor Playground Inc  CO ID:XXXXX92853 CCD           PMT INFO:USLC7NEW6U,",Reconciled,38.76
,11/18/2024,Deposit,,,,"TikTok Shop      DES:XXXXX55003 ID:USLC7NEW6U,               INDN:Outdoor Playground Inc  CO ID:XXXXX92853 CCD           PMT INFO:USLC7NEW6U,",,38.76
2421,,,,,,,,
,11/18/2024,Deposit,,,,BKOFAMERICA MOBILE 11/18 XXXXX31345 DEPOSIT                                    *MOBILE       CA,Reconciled,96.08
,11/18/2024,Deposit,,,,BKOFAMERICA MOBILE 11/18 XXXXX31345 DEPOSIT                                    *MOBILE       CA,,-96.08
2408,,,,,,,,
,11/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Q7P1B5T5R1Y6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,43.44
,11/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Q7P1B5T5R1Y6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,43.44
2409,,,,,,,,
,11/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-I0G2V2W5L4G4           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,7115.49
,11/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-I0G2V2W5L4G4           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,7115.49
2410,,,,,,,,
,11/19/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-Q7I1J1W4Q8R1           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,1571.75
,11/19/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-Q7I1J1W4Q8R1           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,1571.75
2423,,,,,,,,
,11/19/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:IKEMIEAMGSYHM6K           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,103.64
,11/19/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:IKEMIEAMGSYHM6K           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,103.64
2426,,,,,,,,
,11/19/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX21331376             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,Reconciled,3436.7
,11/19/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX21331376             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,,3436.7
2419,,,,,,,,
,11/20/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-E0E0L0O5Z2U3           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,1253.36
,11/20/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-E0E0L0O5Z2U3           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,1253.36
2422,,,,,,,,
,11/20/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:QUXE5RHN93FWU8A           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,114.99
,11/20/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:QUXE5RHN93FWU8A           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,114.99
2424,,,,,,,,
,11/20/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-H2D2K5G1C9K5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,31.91
,11/20/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-H2D2K5G1C9K5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,31.91
2425,,,,,,,,
,11/20/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-D9C1D0R6Q8X9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,1986.31
,11/20/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-D9C1D0R6Q8X9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,1986.31
2432,,,,,,,,
,11/21/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-K2H1R4R0N0R6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,32.09
,11/21/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-K2H1R4R0N0R6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,32.09
2434,,,,,,,,
,11/21/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-A7X0K1Y0N7W5           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,1966.01
